Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
Eagle River Supercenter,2188,907-694-9780,"18600 Eagle River Rd, Eagle River, AK 99577",https://www.walmart.com/store/2188-eagle-river-ak,-149.5354,61.309037,eagle,river
Fairbanks Supercenter,2722,907-451-9900,"537 Johansen Expy, Fairbanks, AK 99701",https://www.walmart.com/store/2722-fairbanks-ak,-147.6895,64.856378,fairbanks,ak
Kenai Supercenter,4474,907-395-0971,"10096 Kenai Spur Hwy, Kenai, AK 99611",https://www.walmart.com/store/4474-kenai-ak,-151.2252,60.564278,kenai,ak
Ketchikan Store,2710,907-247-2156,"4230 Don King Rd, Ketchikan, AK 99901",https://www.walmart.com/store/2710-ketchikan-ak,-131.7203,55.375474,ketchikan,ak
Kodiak Store,2711,907-481-1670,"2911 Mill Bay Rd, Kodiak, AK 99615",https://www.walmart.com/store/2711-kodiak-ak,-152.3652,57.811934,kodiak,ak
Wasilla Supercenter,2074,907-376-9780,"1350 S Seward Meridian Pkwy, Wasilla, AK 99654",https://www.walmart.com/store/2074-wasilla-ak,-149.3651,61.568719,wasilla,ak
Adamsville Supercenter,1158,205-798-9721,"2473 Hackworth Rd, Adamsville, AL 35214",https://www.walmart.com/store/1158-adamsville-al,-86.92423,33.579051,adamsville,al
Alexander City Supercenter,726,256-234-0316,"2643 Highway 280, Alexander City, AL 35010",https://www.walmart.com/store/726-alexander-city-al,-85.97582,32.941298,alexander,city
Andalusia Supercenter,1091,334-222-6561,"1991 M. L. King Jr., Andalusia, AL 36420",https://www.walmart.com/store/1091-andalusia-al,-86.44496,31.321761,andalusia,al
Anniston Supercenter,329,256-820-3326,"5560 Mcclellan Blvd, Anniston, AL 36206",https://www.walmart.com/store/329-anniston-al,-85.81983,33.720207,anniston,al
Arab Supercenter,306,256-586-8168,"1450 No. Brindlee Mt, Arab, AL 35016",https://www.walmart.com/store/306-arab-al,-86.50054,34.341786,arab,al
Athens Supercenter,661,256-230-2981,"1011 Us Highway 72 E, Athens, AL 35611",https://www.walmart.com/store/661-athens-al,-86.95884,34.788552,athens,al
Atmore Supercenter,7247,251-368-1403,"911 N Main St, Atmore, AL 36502",https://www.walmart.com/store/7247-atmore-al,-87.49517,31.037968,atmore,al
Attalla Supercenter,316,256-538-3811,"973 Gilbert Ferry Rd Se, Attalla, AL 35954",https://www.walmart.com/store/316-attalla-al,-86.09361,33.993761,attalla,al
Bay Minette Supercenter,2739,251-937-5558,"701 Mcmeans Ave, Bay Minette, AL 36507",https://www.walmart.com/store/2739-bay-minette-al,-87.79009,30.886057,bay,minette
Bessemer Supercenter,764,205-424-5890,"750 Academy Dr, Bessemer, AL 35022",https://www.walmart.com/store/764-bessemer-al,-87.00192,33.361589,bessemer,al
Boaz Supercenter,298,256-593-0195,"1972 Hwy 431, Boaz, AL 35957",https://www.walmart.com/store/298-boaz-al,-86.15340,34.214797,boaz,al
Brent Supercenter,425,205-926-4878,"10675 Highway 5, Brent, AL 35034",https://www.walmart.com/store/425-brent-al,-87.17188,32.963956,brent,al
Brewton Supercenter,1620,251-867-4680,"2578 Douglas Ave, Brewton, AL 36426",https://www.walmart.com/store/1620-brewton-al,-87.06373,31.148441,brewton,al
Calera Supercenter,3271,205-668-0831,"5100 Highway 31, Calera, AL 35040",https://www.walmart.com/store/3271-calera-al,-86.75188,33.146252,calera,al
